bias,bias_strength,n_broadcasters,broadcast_opinion,interaction_mode,confidence_threshold,converge_mult,grid_length,opinion_type,stubborn_fraction,seed,replication,converged,convergence_step,final_variance,final_mean,n_clusters,polarisation
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,565,565,False,500,0.111006,0.5925,8,0.01
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,1565,1565,False,500,0.101092,0.5994,5,0.01
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,2565,2565,False,500,0.107402,0.6155,7,0.01
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,3565,3565,False,500,0.120753,0.5937,7,0.01
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,4565,4565,False,500,0.084326,0.5983,6,0.01
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,5565,5565,False,500,0.107001,0.6375,8,0.01
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,6565,6565,False,500,0.096135,0.6018,5,0.01
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,7565,7565,False,500,0.098988,0.6134,9,0.01
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,8565,8565,False,500,0.116087,0.6006,8,0.01
0.5,0.0,2,1.0,single,0.1,0.1,10,continuous,0.0,9565,9565,False,500,0.094314,0.5573,7,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,45,45,False,500,0.090464,0.6293,6,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,1045,1045,False,500,0.115902,0.5884,6,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,2045,2045,False,500,0.090409,0.611,6,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,3045,3045,False,500,0.112964,0.6679,7,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,4045,4045,False,500,0.107744,0.5262,9,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,5045,5045,False,500,0.102369,0.5725,8,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,6045,6045,False,500,0.098631,0.6038,10,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,7045,7045,False,500,0.107335,0.5837,8,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,8045,8045,False,500,0.103722,0.6234,8,0.01
0.5,0.0,2,1.0,single,0.1,0.3,10,continuous,0.0,9045,9045,False,500,0.107677,0.5666,7,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,202,202,False,500,0.096521,0.6018,7,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,1202,1202,False,500,0.08081,0.6463,7,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,2202,2202,False,500,0.101263,0.6,7,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,3202,3202,False,500,0.121128,0.5956,6,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,4202,4202,False,500,0.119653,0.6388,7,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,5202,5202,False,500,0.087244,0.6303,6,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,6202,6202,False,500,0.096082,0.605,7,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,7202,7202,False,500,0.088618,0.6123,6,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,8202,8202,False,500,0.115449,0.6636,6,0.01
0.5,0.0,2,1.0,single,0.15,0.1,10,continuous,0.0,9202,9202,False,500,0.106423,0.5963,4,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,133,133,False,500,0.092801,0.5728,8,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,1133,1133,False,500,0.091681,0.6352,6,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,2133,2133,False,500,0.114299,0.6129,6,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,3133,3133,False,500,0.132413,0.5968,5,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,4133,4133,False,500,0.143029,0.6037,5,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,5133,5133,False,500,0.094081,0.5926,9,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,6133,6133,False,500,0.093704,0.5934,6,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,7133,7133,False,500,0.102091,0.6017,7,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,8133,8133,False,500,0.123676,0.6292,8,0.01
0.5,0.0,2,1.0,single,0.15,0.3,10,continuous,0.0,9133,9133,False,500,0.134829,0.5655,7,0.01
