bias,bias_strength,n_broadcasters,broadcast_opinion,interaction_mode,confidence_threshold,converge_mult,grid_length,opinion_type,stubborn_fraction,seed,replication,converged,convergence_step,final_variance,final_mean,n_clusters,polarisation
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,422,422,False,500,0.072765,0.5242,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,1422,1422,False,500,0.058969,0.5059,5,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,2422,2422,False,500,0.081256,0.5261,5,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,3422,3422,False,500,0.072943,0.5211,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,4422,4422,False,500,0.070228,0.5031,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,5422,5422,False,500,0.061162,0.5261,9,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,6422,6422,False,500,0.074039,0.4859,4,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,7422,7422,False,500,0.06278,0.5138,7,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,8422,8422,False,500,0.057846,0.4875,7,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.0,9422,9422,False,500,0.080383,0.5327,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,739,739,False,500,0.072594,0.5126,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,1739,1739,False,500,0.054928,0.52,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,2739,2739,False,500,0.066355,0.5365,7,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,3739,3739,False,500,0.063937,0.493,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,4739,4739,False,500,0.074757,0.5039,4,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,5739,5739,False,500,0.082495,0.5417,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,6739,6739,False,500,0.07054,0.4698,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,7739,7739,False,500,0.075246,0.5173,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,8739,8739,False,500,0.0876,0.4851,7,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.01,9739,9739,False,500,0.06738,0.4636,3,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,181,181,False,500,0.081554,0.5579,4,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,1181,1181,False,500,0.053543,0.4615,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,2181,2181,False,500,0.065817,0.5814,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,3181,3181,False,500,0.080185,0.5897,7,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,4181,4181,False,500,0.084607,0.508,5,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,5181,5181,False,500,0.079563,0.5107,6,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,6181,6181,False,500,0.086608,0.4054,7,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,7181,7181,False,500,0.096735,0.6298,8,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,8181,8181,False,500,0.046915,0.4483,7,0.01
0.5,0.0,0,1.0,single,0.15,0.2,10,continuous,0.05,9181,9181,False,500,0.086413,0.4775,8,0.01
