bias,bias_strength,n_broadcasters,broadcast_opinion,interaction_mode,confidence_threshold,converge_mult,grid_length,opinion_type,stubborn_fraction,seed,replication,converged,convergence_step,final_variance,final_mean,n_clusters,polarisation
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,477,477,False,500,0.088634,0.469,9,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,1477,1477,False,500,0.090154,0.5111,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,2477,2477,False,500,0.090008,0.4979,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,3477,3477,False,500,0.076163,0.5279,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,4477,4477,False,500,0.073054,0.5307,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,5477,5477,False,500,0.079607,0.4662,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,6477,6477,False,500,0.083633,0.5107,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,7477,7477,False,500,0.082491,0.4721,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,8477,8477,False,500,0.077501,0.5173,4,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.0,9477,9477,False,500,0.091214,0.5057,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,200,200,False,500,0.089123,0.4422,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,1200,1200,False,500,0.085019,0.5267,8,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,2200,2200,False,500,0.064957,0.4829,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,3200,3200,False,500,0.075324,0.4938,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,4200,4200,False,500,0.07711,0.4638,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,5200,5200,False,500,0.07762,0.4625,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,6200,6200,False,500,0.091514,0.491,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,7200,7200,False,500,0.081532,0.4678,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,8200,8200,False,500,0.066841,0.4313,9,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.01,9200,9200,False,500,0.086965,0.5324,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,466,466,False,500,0.089331,0.5052,8,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,1466,1466,False,500,0.066001,0.4876,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,2466,2466,False,500,0.080754,0.5409,8,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,3466,3466,False,500,0.075109,0.5032,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,4466,4466,False,500,0.06322,0.4771,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,5466,5466,False,500,0.075142,0.5431,6,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,6466,6466,False,500,0.076409,0.4768,4,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,7466,7466,False,500,0.079047,0.4699,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,8466,8466,False,500,0.082814,0.5446,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.05,9466,9466,False,500,0.080043,0.5006,7,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.1,255,255,False,500,0.076892,0.4991,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.1,1255,1255,False,500,0.086284,0.4784,5,0.01
0.5,0.0,0,1.0,single,0.1,0.1,10,continuous,0.1,2255,2255,False,500,0.082793,0.5303,6,0.01
