bias,bias_strength,n_broadcasters,broadcast_opinion,interaction_mode,confidence_threshold,converge_mult,grid_length,opinion_type,stubborn_fraction,seed,replication,converged,convergence_step,final_variance,final_mean,n_clusters,polarisation
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,43,43,False,500,0.081656,0.5058,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,1043,1043,False,500,0.083757,0.4962,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,2043,2043,False,500,0.080627,0.4815,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,3043,3043,False,500,0.083755,0.5031,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,4043,4043,False,500,0.079927,0.5053,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,5043,5043,False,500,0.081271,0.4998,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,6043,6043,False,500,0.077851,0.5081,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,7043,7043,False,500,0.082504,0.4959,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,8043,8043,False,500,0.082455,0.4927,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.1,30,continuous,0.0,9043,9043,False,500,0.083137,0.4999,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,954,954,False,500,0.080704,0.493,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,1954,1954,False,500,0.07628,0.4973,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,2954,2954,False,500,0.080396,0.5142,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,3954,3954,False,500,0.083459,0.4989,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,4954,4954,False,500,0.078902,0.494,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,5954,5954,False,500,0.075409,0.5251,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,6954,6954,False,500,0.081677,0.5054,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,7954,7954,False,500,0.083068,0.5033,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,8954,8954,False,500,0.080978,0.5105,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.2,30,continuous,0.0,9954,9954,False,500,0.080486,0.5001,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.3,30,continuous,0.0,683,683,False,500,0.07855,0.5067,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.3,30,continuous,0.0,1683,1683,False,500,0.081139,0.5128,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.3,30,continuous,0.0,2683,2683,False,500,0.080058,0.4983,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.3,30,continuous,0.0,3683,3683,False,500,0.081334,0.5129,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.3,30,continuous,0.0,4683,4683,False,500,0.076793,0.493,1,0.0011
0.5,0.0,0,1.0,single,0.1,0.3,30,continuous,0.0,5683,5683,False,500,0.080608,0.503,1,0.0011
