bias,bias_strength,n_broadcasters,broadcast_opinion,interaction_mode,confidence_threshold,converge_mult,grid_length,opinion_type,stubborn_fraction,seed,replication,converged,convergence_step,final_variance,final_mean,n_clusters,polarisation
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,869,869,False,500,0.088178,0.5656,7,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,1869,1869,False,500,0.087673,0.543,7,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,2869,2869,False,500,0.103359,0.5913,7,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,3869,3869,False,500,0.091954,0.5741,8,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,4869,4869,False,500,0.085402,0.5808,8,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,5869,5869,False,500,0.099687,0.5417,6,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,6869,6869,False,500,0.098132,0.5187,8,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,7869,7869,False,500,0.113018,0.5178,6,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,8869,8869,False,500,0.09291,0.5489,8,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,continuous,0.0,9869,9869,False,500,0.096956,0.5428,6,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,81,81,False,500,0.2484,0.46,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,1081,1081,False,500,0.2475,0.45,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,2081,2081,False,500,0.2499,0.51,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,3081,3081,False,500,0.2484,0.54,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,4081,4081,False,500,0.2491,0.47,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,5081,5081,False,500,0.2496,0.48,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,6081,6081,False,500,0.2436,0.58,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,7081,7081,False,500,0.2496,0.48,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,8081,8081,False,500,0.2464,0.56,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,binary,0.0,9081,9081,False,500,0.2484,0.46,2,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,897,897,False,500,0.116475,0.645,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,1897,1897,False,500,0.1434,0.54,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,2897,2897,False,500,0.116875,0.475,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,3897,3897,False,500,0.1046,0.48,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,4897,4897,False,500,0.122475,0.505,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,5897,5897,False,500,0.142475,0.505,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,6897,6897,False,500,0.1234,0.46,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,7897,7897,False,500,0.127275,0.485,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,8897,8897,False,500,0.136875,0.525,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,ternary,0.0,9897,9897,False,500,0.1349,0.51,3,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,538,538,False,500,0.104909,0.5371,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,1538,1538,False,500,0.091672,0.5367,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,2538,2538,False,500,0.104061,0.4964,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,3538,3538,False,500,0.103978,0.4902,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,4538,4538,False,500,0.113505,0.4597,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,5538,5538,False,500,0.105355,0.4695,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,6538,6538,False,500,0.115027,0.5101,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,7538,7538,False,500,0.105583,0.5265,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,8538,8538,False,500,0.104064,0.5032,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,10,quadrary,0.0,9538,9538,False,500,0.096728,0.5267,4,0.01
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,483,483,False,500,0.073116,0.5155,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,1483,1483,False,500,0.085419,0.4987,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,2483,2483,False,500,0.079584,0.5368,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,3483,3483,False,500,0.082533,0.4915,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,4483,4483,False,500,0.083114,0.5095,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,5483,5483,False,500,0.081251,0.508,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,6483,6483,False,500,0.088134,0.5169,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,7483,7483,False,500,0.083789,0.5235,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,8483,8483,False,500,0.09394,0.5026,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,continuous,0.0,9483,9483,False,500,0.08055,0.5368,1,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,742,742,False,500,0.2491,0.53,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,1742,1742,False,500,0.2499,0.49,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,2742,2742,False,500,0.249975,0.495,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,3742,3742,False,500,0.249975,0.505,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,4742,4742,False,500,0.249844,0.5125,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,5742,5742,False,500,0.2496,0.48,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,6742,6742,False,500,0.2496,0.48,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,7742,7742,False,500,0.249975,0.505,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,8742,8742,False,500,0.249244,0.4725,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,binary,0.0,9742,9742,False,500,0.248775,0.465,2,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,ternary,0.0,169,169,False,500,0.118694,0.4925,3,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,ternary,0.0,1169,1169,False,500,0.119186,0.4863,3,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,ternary,0.0,2169,2169,False,500,0.122673,0.5212,3,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,ternary,0.0,3169,3169,False,500,0.139248,0.4888,3,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,ternary,0.0,4169,4169,False,500,0.128944,0.4675,3,0.0025
0.5,0.0,1,1.0,single,0.1,0.1,20,ternary,0.0,5169,5169,False,500,0.116798,0.4913,3,0.0025
